model,accuracy,auc,precision,recall,f1,mcc
logistic_regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
decision_tree,0.9210526315789473,0.9163359788359788,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.8341403959394523
knn,0.9736842105263158,0.9884259259259259,0.96,1.0,0.9795918367346939,0.9441549509633318
naive_bayes,0.9298245614035088,0.9867724867724867,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8492063492063492
random_forest,0.956140350877193,0.9937169312169313,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9054466190452621
